03-31 01:00:51: Training starting...
03-31 01:00:51: New best reward 17.0 (-100.0%) at episode 0, saving model...
03-31 01:00:51: New best reward 27.0 (+58.8%) at episode 2, saving model...
03-31 01:00:51: New best reward 44.0 (+63.0%) at episode 28, saving model...
03-31 01:00:51: New best reward 58.0 (+31.8%) at episode 35, saving model...
03-31 01:00:51: New best reward 88.0 (+51.7%) at episode 36, saving model...
03-31 01:00:51: New best reward 94.0 (+6.8%) at episode 75, saving model...
03-31 01:00:53: New best reward 100.0 (+6.4%) at episode 1610, saving model...
03-31 01:00:53: New best reward 272.0 (+172.0%) at episode 2068, saving model...
03-31 01:00:53: New best reward 306.0 (+12.5%) at episode 2259, saving model...
03-31 01:00:53: New best reward 330.0 (+7.8%) at episode 2260, saving model...
03-31 01:00:54: New best reward 372.0 (+12.7%) at episode 2463, saving model...
03-31 01:01:00: New best reward 493.0 (+32.5%) at episode 4858, saving model...
03-31 01:01:06: New best reward 596.0 (+20.9%) at episode 7291, saving model...
03-31 01:01:08: New best reward 597.0 (+0.2%) at episode 7924, saving model...
03-31 01:01:08: New best reward 817.0 (+36.9%) at episode 7944, saving model...
03-31 01:01:09: New best reward 1052.0 (+28.8%) at episode 8091, saving model...
03-31 01:01:16: New best reward 1917.0 (+82.2%) at episode 10890, saving model...
03-31 01:02:10: New best reward 3891.0 (+103.0%) at episode 14808, saving model...
03-31 01:02:25: New best reward 39162.0 (+906.5%) at episode 15334, saving model...
03-31 01:02:34: New best reward 100000.0 (+155.3%) at episode 15581, saving model...
